,VIX,US10Y,US2Y,DXY,OIL,CREDIT_SPREAD,CPI,FED_FUNDS
VIX,0.20689936619035676,0.6173476013452288,0.4583597409802208,0.7433084706940944,0.9297484234936251,0.9030013393224122,0.18350743238381337,0.12680668595807532
US10Y,0.46867039012687695,0.9026353651890657,0.5148994669191871,0.8387592504116711,0.6999131507854891,0.7099783551155132,0.8062356450216165,0.6537171796124073
US2Y,0.030879167296164453,0.74414475741117,0.8647542995790444,0.5477283567055149,0.8340558900132821,0.012445403144881158,0.3016612415901862,0.018614721176977718
DXY,0.57134532474701,0.2655833394567928,0.48992897355051646,0.30167964397681357,0.9733538169086455,0.30827918823010547,0.45824087456408785,0.457896239107901
OIL,0.13333561978407807,0.05462491853958933,0.9696405323569384,0.9379731700346298,0.7238636398496563,0.5038821999333761,0.9442746426274152,0.6984516122245565
CREDIT_SPREAD,0.08242898571567833,0.9227877918128654,0.8448697907786825,0.8139058943070189,0.9318981945342564,0.24374269033916618,0.6665754367162166,0.4179207800108873
CPI,0.7944813573546905,0.9204105953650684,0.809564422847298,0.34376313512349255,0.20471268218649227,0.5658931083199145,0.25043537922761433,0.5417738636909023
FED_FUNDS,0.18031038904282515,0.6542511029870658,0.6937474702599892,0.6815639703466168,0.400420951999629,0.42470014865584005,0.5305230564452396,0.6769764711897173
