sector,macro,tau,alpha,beta,t_beta,pseudo_r2
XLK,OIL,0.01,-0.04553268843726052,0.008651241215934606,1.0522570963657225,0.18740920140092232
XLK,OIL,0.05,-0.02606179392795137,0.0023935065483997593,0.7920713089438817,0.018475887881416186
XLK,OIL,0.1,-0.01908465889077205,0.0001509609883109054,0.0714963881884083,0.0002787408493355459
XLK,OIL,0.25,-0.006682418288174954,-0.0031671297097771926,-2.4489750130668164,0.011436431112514134
XLK,OIL,0.5,0.0027064171461823583,-0.002180554045245867,-2.622000332928309,0.010196699872295212
XLK,OIL,0.75,0.010618813140156644,-0.0012941226055588548,-1.283823579544723,0.009028650365515256
XLK,OIL,0.9,0.018043216455609714,-0.002058422788033144,-1.4651569283352657,0.009778894812214944
XLK,OIL,0.95,0.02303027740263547,-0.001236322359382626,-0.8475277314545333,0.011038463381928265
XLK,OIL,0.99,0.039569551597214474,0.0014911346912782832,0.15030459607898478,0.013208072413558591
XLK,DXY,0.01,-0.04939573112388213,0.005621863574397862,0.31426042988077396,0.006018535151370186
XLK,DXY,0.05,-0.025663665237833616,0.0029697562655249775,0.8571751585828133,0.020528849259316417
XLK,DXY,0.1,-0.01905554995782165,0.002545655327488475,1.071585754127776,0.013055705347798319
XLK,DXY,0.25,-0.007216506703350314,0.00045491568016459735,0.2840634411103095,0.0003252008663782169
XLK,DXY,0.5,0.002586298121865168,-0.00042809009193602916,-0.5098596140487216,0.00047565575519137315
XLK,DXY,0.75,0.011019328570509062,-0.001169510264951273,-1.2693821222984427,0.0026916428038380458
XLK,DXY,0.9,0.018029770624492226,-0.0007629521537767743,-0.6470706085386138,0.00028211234335218105
XLK,DXY,0.95,0.023265290901749426,0.0011054987676755363,0.6181097500275184,0.0027599504703329503
XLK,DXY,0.99,0.03895239482284099,0.0019390585215373424,0.35368663126127503,0.01565346125697631
XLK,US2Y,0.01,-0.04268812881331885,0.010594517250769498,1.7273437923920005,0.13123999671863806
XLK,US2Y,0.05,-0.026801248449448426,0.0031892081522541097,1.2591636836303974,0.012993602675731686
XLK,US2Y,0.1,-0.01838756993713948,0.0016078118115587128,1.0048402786005137,0.004608485175199628
XLK,US2Y,0.25,-0.007847045462907275,0.002454641267357648,1.8782932464207573,0.003606716750043981
XLK,US2Y,0.5,0.0026091123147079743,0.00038873402076255005,0.46215179222946967,0.001902295164609491
XLK,US2Y,0.75,0.010473977723683676,0.0008620701218132853,0.8555807681801504,0.001911263518430073
XLK,US2Y,0.9,0.018961877289149026,0.0023179264777214974,1.421054401147641,0.014084418465632798
XLK,US2Y,0.95,0.02506790882707856,0.0027376186117824067,0.9171365131018399,0.019064538194825897
XLK,US2Y,0.99,0.039843364573011374,0.006814986864417968,0.9029833753017653,0.12335197109589136
XLK,US10Y,0.01,-0.04669937126229241,0.008222430749017053,1.2171238075104305,0.11720108300693932
XLK,US10Y,0.05,-0.028360709732070853,0.003514078006880509,0.9466866653377285,0.017810901277765412
XLK,US10Y,0.1,-0.019628495146456156,0.0005084247015410257,0.19183399770036916,0.0012353627535125478
XLK,US10Y,0.25,-0.006898997748276965,0.0008617279157121823,0.5728844879128514,0.0013430248146845125
XLK,US10Y,0.5,0.002593366631614148,-0.00011969664477681622,-0.1425854857629097,5.609956179442044e-05
XLK,US10Y,0.75,0.011043598524124672,-0.0013032349480714088,-1.391539715368748,0.0036238026318570205
XLK,US10Y,0.9,0.01782783961032981,-0.000668197053727842,-0.5287437139059911,0.0028186915083271424
XLK,US10Y,0.95,0.023556934668026785,-0.0016233996352838734,-0.8434733693804185,0.005815718743465426
XLK,US10Y,0.99,0.040873664513254845,0.0026344429710798674,0.3678363583019363,0.043867892765349636
XLK,VIX,0.01,-0.02509035274726988,-0.012646627070888325,-2.760861292354882,0.5264706659980474
XLK,VIX,0.05,-0.015306096681805947,-0.013905785282960395,-6.00549704052445,0.43729028776315837
XLK,VIX,0.1,-0.01085511230256452,-0.015345474970037845,-15.173693275430185,0.4310102048895067
XLK,VIX,0.25,-0.00419627958912185,-0.01560824720250612,-18.46883328109367,0.4049331205411859
XLK,VIX,0.5,0.001200289277281898,-0.014241007382527909,-26.763128652604465,0.35958270226046796
XLK,VIX,0.75,0.007321960630466014,-0.013541123545505053,-14.60481450130212,0.3134847043780149
XLK,VIX,0.9,0.013938319379944279,-0.012784203384625166,-6.321869972860594,0.3140224207587765
XLK,VIX,0.95,0.018683385780791054,-0.01224452250736015,-3.1408641191031186,0.3500810830914054
XLK,VIX,0.99,0.027761739719598,-0.01236947167946994,-5.707659339576915,0.5414451097177224
XLF,OIL,0.01,-0.03633943136771846,0.006042800182156551,0.5279785696334367,0.15864571619417633
XLF,OIL,0.05,-0.01923648364317071,0.0009055945687819202,0.34645650569122005,0.006303027400179739
XLF,OIL,0.1,-0.011638885443787156,-0.0003341627380036755,-0.17623106767828794,0.00016693473341700127
XLF,OIL,0.25,-0.004566601840920936,-0.0010923961380021607,-1.674274122753876,0.005050085053567743
XLF,OIL,0.5,0.0007589266238167211,-0.0016758434335286691,-2.9246742250288356,0.019383675654937482
XLF,OIL,0.75,0.006521114155552236,-0.0013973872034430575,-2.158461696962262,0.0199134935228098
XLF,OIL,0.9,0.011150983248804057,-0.001742307323792438,-1.9029086050174384,0.006888211715278869
XLF,OIL,0.95,0.016464402319258636,-0.0015919911953675022,-0.6112129478896806,0.01054377267708273
XLF,OIL,0.99,0.025314363206482317,-0.000132710085742375,-0.019048549838838337,0.004434036711747025
XLF,DXY,0.01,-0.030781723822200742,0.0052245067424439885,0.8082733928434669,0.07780703095195285
XLF,DXY,0.05,-0.019220172800290973,0.0022709145933522907,0.7996082044969907,0.03704770181672101
XLF,DXY,0.1,-0.011325608253726442,0.0025707560649956365,1.8181609850730558,0.042481438291265716
XLF,DXY,0.25,-0.004853434598786645,0.001202929453914576,1.632522475171854,0.005892520059895934
XLF,DXY,0.5,0.0007574787984722591,5.4420961732914915e-06,0.008973732675094027,1.92280156441349e-06
XLF,DXY,0.75,0.006631412995693459,-0.0011433920606206695,-1.965814265701092,0.005463759256877809
XLF,DXY,0.9,0.011174080643791443,-0.0012212628953342736,-1.4757092702493515,0.007051934716802988
