sector,var_normal,var_cf,var_hist,cf_over_normal,skewness,exc_kurtosis,cf_over_normal_hi
XLK,0.038932097851770556,0.07099313134641065,0.0487319649947311,1.8235115820552172,0.2559030167457452,8.841856478127896,1.9861716221805459
XLF,0.026573313044317547,0.056500993570964116,0.03070750762455167,2.12623068402253,-0.5662659057628073,9.818540897245366,2.3909903032047026
XLE,0.03529039636644464,0.06781110543401789,0.03973253677828717,1.9215172516026227,-1.2208432335021244,7.506826755655569,2.0848463796096413
XLV,0.02423301517844764,0.03273220344218647,0.02809860306719868,1.350727641655498,-0.24577738973235766,2.761144438891157,1.6084839266108577
XLY,0.033316375534011816,0.04931078632489379,0.03352657462107342,1.48007655498281,0.7114049343567437,7.80553907924503,1.6608612085152723
XLP,0.02050176698965002,0.025483335701481823,0.020972367017312664,1.2429824080210583,-0.11561502086767736,2.0380105496906022,1.4471762217089055
XLU,0.023497711558597985,0.0348886343678742,0.02418628764138088,1.4847673264211207,-0.6283583137488992,3.382881967924968,1.731722246414433
XLI,0.027252769174000217,0.051221720698403854,0.02569852105664804,1.879505175102374,0.2443965305882947,9.35297078984512,2.1746692752535757
XLB,0.02858001670187396,0.04592860928111996,0.028845553148823765,1.6070182799476276,0.2523112858680352,6.803067294146144,1.7931890365999787
XLRE,0.023503227251247955,0.03315571276668433,0.027712005336599493,1.4106876648152162,-0.23614742728601643,3.362777102179659,1.538920105031313
XLC,0.024991899505615447,0.05144609396882432,0.028379395129566155,2.05851075694606,0.44081004202913615,12.051212147647718,2.2920193666177267
