,L/S VRP
2026-01-02,-0.016797303282501636
2026-01-05,-0.0032494614979006065
2026-01-06,0.006456203558289998
2026-01-07,0.005367020772803529
2026-01-08,-0.012405328221540326
2026-01-09,0.0010120553266043351
2026-01-12,4.70621778613596e-06
2026-01-13,-0.014074356600904555
2026-01-14,-0.02458410756914428
2026-01-15,0.0009337331810949107
2026-01-16,-0.0015438322685299983
2026-01-20,-0.019572423905951652
2026-01-21,0.005567636835524668
2026-01-22,0.007902873935204703
2026-01-23,0.000587528464962489
2026-01-26,0.0005516400630209651
2026-01-27,0.001008151346600619
2026-01-28,-0.002004723334495079
2026-01-29,-0.0006138673200082906
2026-01-30,-0.020302313037502108
2026-02-02,0.016032857845917334
2026-02-03,-0.02203055225980584
2026-02-04,-0.02798996732143523
2026-02-05,-0.013383771890012056
2026-02-06,0.007451628332845579
2026-02-09,0.0016287968832844973
2026-02-10,-0.004798986558019282
2026-02-11,-0.0008951016651994302
2026-02-12,-0.015078597502855208
2026-02-13,-0.0020965356835643506
2026-02-17,-0.0008271877158760078
2026-02-18,0.01068818014956643
2026-02-19,-0.002499962886891023
2026-02-20,0.0015295791634864185
2026-02-23,-0.024192769926918163
2026-02-24,0.005929397416360825
2026-02-25,0.00853448212873963
2026-02-26,-0.003242111217531833
2026-02-27,-0.014815450063524006
2026-03-02,0.00179298436390958
2026-03-03,-0.00565282364229781
2026-03-04,0.015242406602192723
2026-03-05,0.006365605720399547
2026-03-06,-0.013990232613693053
2026-03-09,0.00612142490765512
2026-03-10,0.001275289197139084
2026-03-11,0.010880190307626145
2026-03-12,-0.02652388195671786
2026-03-13,-0.011777511116729287
2026-03-16,0.005870415166182583
2026-03-17,0.008561463502636842
2026-03-18,0.003142552210319125
2026-03-19,-0.001350050407717622
2026-03-20,0.0016287317113928834
2026-03-23,0.013125322007690617
2026-03-24,0.0023068156213955095
2026-03-25,-0.0010704715554428817
2026-03-26,-0.01621315448392099
2026-03-27,-0.023684479751708593
2026-03-30,-0.002116966712790988
2026-03-31,0.034627799509728635
2026-04-01,0.01054344809369888
2026-04-02,-0.006775524301927819
2026-04-06,0.0006344959737352614
2026-04-07,-0.002422234248354489
2026-04-08,0.032359774081328424
2026-04-09,0.0004865177927463809
2026-04-10,0.002675048872189151
2026-04-13,0.014230496074356162
2026-04-14,0.0038861208647034753
2026-04-15,0.004827402999939708
2026-04-16,-0.0013818247378296973
2026-04-17,0.007180509865445884
2026-04-20,0.0036743359968185005
2026-04-21,-0.009630813756350462
2026-04-22,0.0018022721339429528
2026-04-23,-0.0010499271324755297
2026-04-24,0.008535434392751198
2026-04-27,-0.0005903857357057304
2026-04-28,-0.013379878856617799
2026-04-29,-0.0046083525328218244
2026-04-30,-0.011973410968313229
2026-05-01,0.009989052185596065
2026-05-04,-0.005643703609381471
2026-05-05,0.005933008038883128
2026-05-06,0.03397160801051918
2026-05-07,0.002534926593824177
2026-05-08,0.014523888687406242
2026-05-11,-0.011245994905038918
2026-05-12,-0.008262733470948429
2026-05-13,0.0020502276949902806
2026-05-14,0.004795220271298399
2026-05-15,-0.008209290367195591
2026-05-18,-0.010914592881691004
2026-05-19,-0.018363474577457243
2026-05-20,0.015017122544945971
2026-05-21,0.0006934543217738032
2026-05-22,-0.005547198680323693
2026-05-26,0.005293479422282382
2026-05-27,0.010228152465634344
2026-05-28,0.00976578573514039
