,L/S VRP
2025-04-07,0.007495386707818684
2025-04-08,-0.009270925019869215
2025-04-09,0.06506612874319995
2025-04-10,0.03992155452150693
2025-04-11,-0.004342567272581189
2025-04-14,0.01368580047566131
2025-04-15,-0.0032293464738455168
2025-04-16,0.007361534133219796
2025-04-17,0.0007501515629345376
2025-04-21,0.008142888309167002
2025-04-22,-0.006938293790473206
2025-04-23,-0.015128632579371408
2025-04-24,-0.022463014732956584
2025-04-25,-0.010522787521276401
2025-04-28,0.00034330288175567496
2025-04-29,0.004023324529245277
2025-04-30,0.014334376687663583
2025-05-01,-0.019079132636988426
2025-05-02,-0.006516983216679203
2025-05-05,0.008806361634539598
2025-05-06,0.0022765392125665184
2025-05-07,-0.00405269251486046
2025-05-08,-0.012569556679902782
2025-05-09,0.0013756799710552283
2025-05-12,0.006016268495634398
2025-05-13,-0.005684042770216693
2025-05-14,-0.0021930319456921685
2025-05-15,0.010181248602151104
2025-05-16,-0.0029674710873254717
2025-05-19,-0.004595064037316262
2025-05-20,-0.004167756174968443
2025-05-21,0.0017436885118636211
2025-05-22,-0.0011669112386697264
2025-05-23,-0.000715242207071675
2025-05-27,-0.0036842573731138174
2025-05-28,-0.0018008439553063357
2025-05-29,-0.0011723811366473207
2025-05-30,0.0022357533602974235
2025-06-02,0.0056293245872210285
2025-06-03,0.0022819799669479687
2025-06-04,-0.006740218692623601
2025-06-05,0.00872241969397941
2025-06-06,0.0056118651708714044
2025-06-09,-0.0018050536006159964
2025-06-10,0.0036296263325865472
2025-06-11,0.00473397178193548
2025-06-12,-0.006919349667817668
2025-06-13,0.00536371135047381
2025-06-16,0.006894154507151189
2025-06-17,0.00814656653745793
2025-06-18,-0.004254329052735491
2025-06-20,0.001061973770404443
2025-06-23,-0.014746392710445855
2025-06-24,-0.0019226407966204812
2025-06-25,0.006799250800465996
2025-06-26,-0.0029770116489757697
2025-06-27,-0.013236079900965644
2025-06-30,1.9883057461502623e-05
2025-07-01,0.003384563523171135
2025-07-02,0.0031998956521477784
2025-07-03,0.001677265748064954
2025-07-07,0.001999879833938437
2025-07-08,0.013115980033312746
2025-07-09,0.0011626700489638583
2025-07-10,0.0019801494789235203
2025-07-11,0.0029400567002796424
2025-07-14,-0.0003464541733837162
2025-07-15,0.007199776890141056
2025-07-16,0.006601308526900586
2025-07-17,-0.003739763529523847
2025-07-18,0.0014776191377641184
2025-07-21,-0.002819586039712362
2025-07-22,-0.006940220912701553
2025-07-23,0.007229901587752736
2025-07-24,-0.0003747432818070537
2025-07-25,0.0017723913176391423
2025-07-28,0.015443205594948892
2025-07-29,-0.010818048585403629
2025-07-30,0.004276971280412389
2025-07-31,0.003257576443846974
2025-08-01,-0.013701613966488266
2025-08-04,0.0033657976885991033
2025-08-05,-0.000998222695576784
2025-08-06,0.011918516489323856
2025-08-07,-0.0013238220514802212
2025-08-08,0.0053649745510348
2025-08-11,-0.0014250833177728013
2025-08-12,0.0059673687749938024
2025-08-13,-0.0016403937804820327
2025-08-14,0.004655443801212993
2025-08-15,-0.014556913371506322
2025-08-18,0.008185131899445594
2025-08-19,-0.015424473207524488
2025-08-20,-0.008830676959143873
2025-08-21,0.004557272745372035
2025-08-22,0.011942848265593638
2025-08-25,0.010460138853226343
2025-08-26,0.004621937399957681
2025-08-27,0.0022531422322320306
2025-08-28,0.007830919963773858
2025-08-29,-0.0048639507374670455
2025-09-02,0.0028793990726334283
2025-09-03,0.005478368206734516
2025-09-04,0.008784255874982536
2025-09-05,-0.0037386196936244546
2025-09-08,0.008378690981307273
2025-09-09,-0.0004803344103971011
2025-09-10,-0.0014971907225744645
2025-09-11,0.003466291113081627
2025-09-12,0.005718822890275681
2025-09-15,0.012271544537814625
2025-09-16,-0.004938310426986834
2025-09-17,-0.0023786019542297128
2025-09-18,0.009989299394702127
2025-09-19,0.008987160739127099
2025-09-22,0.003519284877199138
2025-09-23,-0.01660417623678547
2025-09-24,-0.008048310000772633
2025-09-25,-0.002749330573724211
2025-09-26,-0.000921410331349147
2025-09-29,0.009481250843902476
2025-09-30,0.0005324607934179997
2025-10-01,0.0017158512514161952
2025-10-02,0.00553992614751536
2025-10-03,-0.009362931872107518
2025-10-06,0.0028336586922756896
2025-10-07,-0.011541159314799111
2025-10-08,0.008124992812117825
2025-10-09,-0.002959933779569113
2025-10-10,-0.019569160440432443
2025-10-13,0.012621900171867973
2025-10-14,0.002704954945740767
2025-10-15,0.0052100439044808185
2025-10-16,-0.005467251988715155
2025-10-17,-0.005628769430247612
2025-10-20,0.0035083699724033244
2025-10-21,0.00694295195245873
2025-10-22,-0.016861223947197926
2025-10-23,0.0015841630922992038
2025-10-24,0.00952441664736425
2025-10-27,0.0079546796456034
2025-10-28,0.0007693819612525103
2025-10-29,0.010305533134187327
2025-10-30,-0.012126934029879318
2025-10-31,0.008377203331380895
2025-11-03,0.0014279202252207202
2025-11-04,-0.011646387433246757
2025-11-05,0.005774285883525222
2025-11-06,-0.009581366890202302
2025-11-07,-0.011766732177825277
2025-11-10,0.016931783051951147
2025-11-11,-0.002645951064304185
2025-11-12,-0.00063928695531082
2025-11-13,-0.013349313656873155
2025-11-14,-0.0007854794790472118
2025-11-17,-0.010361224807351795
2025-11-18,-0.014540427362799861
2025-11-19,0.012958881932394483
2025-11-20,-0.02081296351591861
2025-11-21,0.001745565878062164
2025-11-24,0.01508402043347398
2025-11-25,-0.002494830832952058
2025-11-26,0.0011120967214107366
2025-11-28,0.0012758471422302797
2025-12-01,-0.007189178481206786
2025-12-02,0.009450664557200545
2025-12-03,0.006991978983503656
2025-12-04,0.006801818522991432
2025-12-05,0.010827129850927524
2025-12-08,0.007126297534722132
2025-12-09,0.0016513893081136692
2025-12-10,0.0002526393863910865
2025-12-11,-0.0025445623999487453
2025-12-12,-0.008395466036018321
2025-12-15,-0.006281491235704242
2025-12-16,0.008028810677298371
2025-12-17,-0.01594013393033579
2025-12-18,0.010896782409210387
2025-12-19,0.009674238728020928
2025-12-22,0.001025850625896065
2025-12-23,0.0007348032004200144
2025-12-24,0.0016736446890400175
2025-12-26,0.0008420722300534009
2025-12-29,-0.008075510396069253
2025-12-30,-0.0036295841186175385
2025-12-31,-0.0010420249386185795
2026-01-02,-0.016797303282501636
2026-01-05,-0.0032494614979006065
2026-01-06,0.006456203558289998
2026-01-07,0.005367020772803529
2026-01-08,-0.012405328221540326
2026-01-09,0.0010120553266043351
2026-01-12,4.70621778613596e-06
2026-01-13,-0.014074356600904555
2026-01-14,-0.02458410756914428
2026-01-15,0.0009337331810949107
2026-01-16,-0.0015438322685299983
2026-01-20,-0.019572423905951652
2026-01-21,0.005567636835524668
2026-01-22,0.007902873935204703
2026-01-23,0.000587528464962489
2026-01-26,0.0005516400630209651
2026-01-27,0.001008151346600619
2026-01-28,-0.002004723334495079
2026-01-29,-0.0006138673200082906
2026-01-30,-0.020302313037502108
2026-02-02,0.016032857845917334
2026-02-03,-0.02203055225980584
2026-02-04,-0.02798996732143523
2026-02-05,-0.013383771890012056
2026-02-06,0.007451628332845579
2026-02-09,0.0016287968832844973
2026-02-10,-0.004798986558019282
2026-02-11,-0.0008951016651994302
2026-02-12,-0.015078597502855208
2026-02-13,-0.0020965356835643506
2026-02-17,-0.0008271877158760078
2026-02-18,0.01068818014956643
2026-02-19,-0.002499962886891023
2026-02-20,0.0015295791634864185
2026-02-23,-0.024192769926918163
2026-02-24,0.005929397416360825
2026-02-25,0.00853448212873963
2026-02-26,-0.003242111217531833
2026-02-27,-0.014815450063524006
2026-03-02,0.00179298436390958
2026-03-03,-0.00565282364229781
2026-03-04,0.015242406602192723
2026-03-05,0.006365605720399547
2026-03-06,-0.013990232613693053
2026-03-09,0.00612142490765512
2026-03-10,0.001275289197139084
2026-03-11,0.010880190307626145
2026-03-12,-0.02652388195671786
2026-03-13,-0.011777511116729287
2026-03-16,0.005870415166182583
2026-03-17,0.008561463502636842
2026-03-18,0.003142552210319125
2026-03-19,-0.001350050407717622
2026-03-20,0.0016287317113928834
2026-03-23,0.013125322007690617
2026-03-24,0.0023068156213955095
2026-03-25,-0.0010704715554428817
2026-03-26,-0.01621315448392099
2026-03-27,-0.023684479751708593
2026-03-30,-0.002116966712790988
2026-03-31,0.034627799509728635
2026-04-01,0.01054344809369888
2026-04-02,-0.006775524301927819
2026-04-06,0.0006344959737352614
2026-04-07,-0.002422234248354489
2026-04-08,0.032359774081328424
2026-04-09,0.0004865177927463809
2026-04-10,0.002675048872189151
2026-04-13,0.014230496074356162
2026-04-14,0.0038861208647034753
2026-04-15,0.004827402999939708
2026-04-16,-0.0013818247378296973
2026-04-17,0.007180509865445884
2026-04-20,0.0036743359968185005
2026-04-21,-0.009630813756350462
2026-04-22,0.0018022721339429528
2026-04-23,-0.0010499271324755297
2026-04-24,0.008535434392751198
2026-04-27,-0.0005903857357057304
2026-04-28,-0.013379878856617799
2026-04-29,-0.0046083525328218244
2026-04-30,-0.011973410968313229
2026-05-01,0.009989052185596065
2026-05-04,-0.005643703609381471
2026-05-05,0.005933008038883128
2026-05-06,0.03397160801051918
2026-05-07,0.002534926593824177
2026-05-08,0.014523888687406242
2026-05-11,-0.011245994905038918
2026-05-12,-0.008262733470948429
2026-05-13,0.0020502276949902806
2026-05-14,0.004795220271298399
2026-05-15,-0.008209290367195591
2026-05-18,-0.010914592881691004
2026-05-19,-0.018363474577457243
2026-05-20,0.015017122544945971
2026-05-21,0.0006934543217738032
2026-05-22,-0.005547198680323693
2026-05-26,0.005293479422282382
2026-05-27,0.010228152465634344
2026-05-28,0.00976578573514039
